Rares,Website,Email,,Street Address,State,Located on Site Map,How Many Combos selling per week?,Listed On Website,Display,Linked from thier website,Updated Pricing & Bundle (2 & 1),Date Contacted,Notes,Facebook We Like,Updated Photos,Facebook They Like
Brew Horizons,www.brewhorizons.net,carl@brewhorizons.net,401-710-9979,"916 Putnam Pike, Chepachet, RI, 02184",RI,Yes,,,,,,,,,,
Brew Horizons,www.brewhorizons.net,carl@brewhorizons.net,401-821-3113,"601 Washington Street, Conventry, RI 02816",RI,Yes,,,,,,,,,,
5,,,,,,,,,,,,,,,,
WYOMING,,,,,,,,,,,,,,,,
Depot Street Merchants,https://www.facebook.com/pages/Depot-Street-Merchants/166304433381446,bbriggs@vcn.com-wyobrewer@vcn.com,307-638-0662,"316 W. 15th St., Cheyenne, Wyoming 82001",WY,Yes,,,,,,,,,,
The Pail Ales Store,http://www.thepailalestore.com/,pailalestore@gmail.com,307-362-5472,"1025 Elk Street, Rock Springs, Wyoming 82901",WY,Yes,,,,,,,,,,
H and R Homebrew Supply,http://hrhomebrew.com/,,(307) 672-3617,"1425 Val Vista Street
Sheridan, WY 82801",WY,Yes,,,,,,,,,,
3,,,,,,,,,,,,,,,,
COLORADO,,,,,,,,,,,,,,,,
The Brew HutÂ ,www.thebrewhut.com,brewmaster@thebrewhut.com,303-680-8898,"15120 East Hampden Ave. Aurora, CO 80014",CO,Yes,,No,,No,,6/12/13,,,,
Beer at HomeÂ ,www.beerathome.com,beer@beerathome.com,800-789-3677 - 303-789-3676,"4393 South Broadway. Englewood, Colorado 80113",CO,Yes,,No,,No,,6/12/13,,,,
Beer at HomeÂ ,www.beerathome.com,beer@beerathome.com,720-872-9463 - 800-789-3677,"1325 West 121st Ave.
westminister, CO  80234",CO,Yes,,""" """,,""" """,,6/12/13,,,,
Tom's Brew Shop,www.tomsbrewshop.com,tom@tomsbrewshop.com,(303) 232-5347,"883 Parfet St. Denver, CO 80215",CO,Yes,,http://www.tomsbrewshop.com/eCart/searchItem.html?strSearch=fast+rack&curPage=1&x=0&y=0,,No,Yes,,,,Yes,
Juice of The Barley,http://www.juiceofthebarley.net/,juiceofthebarley.noco@gmail.com,(970) 515-6326,"2961 29th St.
Greeley, CO 80631",CO,Yes,,No,,No,,6/12/13,,,,
WarHammer Supply,http://www.warhammersupply.com/,sales[at]warhammersupply.com,970-635-2602,"1112 MONROE AVE. LOVELAND, CO 80537",CO,Yes,,No,,No,,6/12/13,,,,
Castle Rock Homebrew Supply,www.castlerockhomebrew.com/,eric@castlerockhomebrew.com,303-660-2275,"1043 Park St.  Castle Rock, CO 80109",CO,Yes,,No,,No,,6/12/13,doesn't sell much online and thinks prices are too high,,,
Barley Haven,http://barleyhaven.com/,order@barleyhaven.com,(720) 269-4278,"1050 South Wadsworth Blvd. Lakewood, CO 80226",CO,Yes,,http://barleyhaven.com/fastrack-bottle-drying-trays.html,,No,Yes,,Just added to the list Mid July,,Yes (4 photos),
Lil' Ole Winemaker,No website,,(970) 242-3754,"516 Main St, Grand Junction, CO 81501-2608",CO,Yes,,,,,,,Just added to the list early July,,,
Wine or Wort Home Brew Supply,www.wineorwort.com,beth@wineorwort.com,970-524-2337,"150 Cooley Mesa Rd. Gypsum, CO 81632",CO,Yes,,,,,,,Just added to the list Mid July,,,
Do Your Brew,www.doyourbrew.com,t.murphy@doyourbrew.com,(303) 476-3257,"9050 W 88th Ave, Westminster, CO 80005",CO,Yes,,,,,,,,,,
Kitchen Shop of Craig,,kitchen_shop@optimum.net,970-824-8148,"577 Yampa Ave,  Craig  CO  81625",CO,Yes,,,,,,,,,,
My Home Brew Shop & Brew on PremiseÂ ,www.myhomebrew.com,fumtu99@gmail.com,719-528-1651,1834 Dominion WayÂ ,CO,Yes,,,,,,,,,,
Old West Homebrew SupplyÂ ,www.oldwestbrew.com,sales@OldWestBrew.com,719-635-2443,"229 East Pikes Peak Avenue
Colorado Springs, CO 80903 
",CO,Yes,,,,,,,,,,
High Hops at The Windsor Gardener,www.highhops.net,highhops1@yahoo.com,(970) 686-9771,"6461 State Highway 392, Windsor, CO 80550-3010",CO,,,,,,,,,,,
OLD WEST HOMEBREW,,SALES@OLDWESTBREW.COM,719-635-2443,229 EAST PIKES PEAK AVE COLORADO SPRINGS CO 80903,CO,,,,,,,,,,,
QUIRCKY HOMEBREW,,GREG@QUIRKYHOMEBREW.COM,303-520-3963,425 W 115TH AVE  NORTHGLENN CO 80234,CO,,,,,,,,,,,
17,,,,,,,,,,,,,,,,
LOUISIANA,Mitchell,Mitchell,Mitchell,Mitchell,,,Mitchell,,,,,,,,,
As Is Brewing,https://www.facebook.com/pages/ASIS-BREWING/136119596407913,irasawyer@gmail.com,337-309-6437,"817 Willow Ave, Sulphur, Louisiana 70663",LA,Yes,Oct5 - just less than 1 combo a week,,Yes,,2 racks & 1 Tray-$31.95. Not selling singles but will start to,5-Oct,Just added to the list Mid July. Not selling. Oct5 spoke and loves the product and hardly sells bottle trees anymore. Sent updates for singles pricing,,,
Brewniverse Beer Store,www.brewniversebeerstore.com,info@brewniversebeerstore.com,318-671-4141,"855 Pierremont Rd Ste 124. Shreveport, Louisiana, 71106",LA,Yes,,,,,,,Added first week of August,,,
Brewstock,www.brewstock.com,kyle@brewstock.com,504-208-2788,"3800 Dryades St  New Orleans, LA 70115",LA,Yes,,,,,,,,,,
Marcello's Wine,www.marcelloswine.com,marcellos@marcelloswine.com,337-264-9520,"2800 Johnston St  Lafayette, LA 70503",LA,,,,,,,,,,,
Laughing Buddha Nursery,http://stores.laughingbuddhanursery.com/StoreFront.bok,laughingbuddhanursery@gmail.com,504-887-4336 - grant cell:504-234-3564,"
4516 Clearview pkwy
Metairie, LA 70006
",LA,,,,,,,,,,,
LA HOMEBREW,,KEITH@LAHOMEBREW.COM,225-772-0197,7987 PEUCE LANE BATON ROUGE LA,LA,,,,,,,,,,,
6,,,,,,,,,,,,,,,,
NORTH CAROLINA,,,,,,,,,,,,,,,,
Alternative BeverageÂ ,www.ebrew.com,ab@ebrew.com,800.365.2739,"1500 River Dr. Belmont, NC 28012",NC,Yes,,recently added,,No,,6/12/13,Added us to site all 4 pages on facebook,,,
Big Dan's Brew Shed,www.bigdansbrewshed.com,bigdan@bigdansbrewshed.com,336-812-3756,"602 Hickory Ridge Dr #104  Greensboro, NC 27409",NC,Yes,,No products offered or sold online,,,,,no products offered online,,,
Alternative BeverageÂ ,www.ebrew.com,Mooresville@beerandwinehobbies.com,800-365-2739,"168-S Norman Station Blvd
Mooresville, NC 28117",NC,Yes,,recently added,,,,""" """,,,,
Alternative BeverageÂ ,www.ebrew.com,Charlotte@beerandwinehobbies.com,800.365.2739,"4450 South Blvd
Charlotte, NC 28209",NC,Yes,,recently added,,,,""" """,,,,
Alternative BeverageÂ ,www.ebrew.com,Monroe@beerandwinehobbies.com,800.365.2739,"1323 W. Roosevelt Blvd
Monroe, NC 28110",NC,Yes,,recently added,,,,""" """,,,,
American Brewmaster Inc.Â ,www.americanbrewmaster.com,mark@americanbrewmaster.com,919-850-0095,3021-5 Stoneybrook Dr.Â ,NC,Yes,,No,,,,,,,,
Atlantic Brew Supply,www.atlanticbrewsupply.com,mikemc@atlanticbrewsupply.com,919-400-9087,"Atlantic Brew Supply 
3709 Niel Street 
Raleigh NC 27607",NC,Yes,,No,,,,,,,,
SOHO Organic Market,http://www.sohoorganicmarket.com/,sohoorganics@yahoo.com,252-338-8378,"406 S Griffin ST STE E,  Elizabeth City NC 27909",NC,Yes,,,,,,,,,,
Bull City Homebrew,www.brewmasterstore.com,"info@bullcityhomebrew.com, ndizo@bullcityhomebrew.com",919-682-0300,"1906 N Carolina 54 #200b  Durham, NC 27713",NC,Yes,,,,,,,,,,
Triad Homebrew Supply,www.homebrew-supply.com,bulldawg1964@gmail.com,336-549-9684,"105B Guilford College Rd, Greensboro, NC 27409",NC,Yes,,,,,,,,,,
Homesteaders Brew Supply,,HOMESTEADERBREWSUPPLY@GMAIL.COM,919-290-3959,"121 RALEIGH ST  FUQUAY VARINA,  NC  27526",NC,Yes,,,,,,,,,,
Hops & Vines,www.hopsandvines.net,alex@hopsandvines.net,828-252-5275,"797 Haywood Rd #100  Asheville, NC 28806",NC,,,,,,,,,,,
Wilmington Homebrew Supply,www.wilmingtonhomebrew.com,john@wilmingtonhomebrew.com,910-392-3315,"4405 Wrightsville Ave  Wilmington, NC 28403",NC,,,,,,,,,,,
BAKE BOTTLE AND BREW,,,910-787-3707,147 FRONT ST SWANSBORO NC 28584,NC,,,,,,,,,,,
CITY BEVERAGE,,,336-722-2774,915 BURKE ST  WINSTON SALEM NC 27101,NC,,,,,,,,,,,
LAKE ROAD WINERY,,,252-622-0930,1120 LAKE ROAD  NEWPORT NC 28570,NC,,,,,,,,,,,
15,,,,,,,,,,,,,,,,
MICHIGAN,,,,,,,,,,,,,,,,
Siciliano's MarketÂ ,http://www.sicilianosmkt.com/,info@sicilianosmkt.com,616-453-9674,"2840 Lake Michigan Dr North West. 
Grand Rapids, MI 49504",MI,Yes,,No (Only bottle tree),,No,,6/12/13,,,,
The Wine Barrel Plus,www.winebarrel.com,mark@winebarrel.com,734-522-9463,"30303 Plymouth Rd. Livonia, MI. 48150",MI,Yes,,No,,No,,6/12/13,,,,
Brewers Edge Homebrew Supply,www.brewersedgehomebrew.com,brewersedge@gmail.com,(616) 399-0017,"650 Riley St. 
Holland, MI 49424",MI,Yes,,No,,No,,6/12/13,,,,
Adventures in HomebrewingÂ ,www.homebrewing.org,homebrew@homebrewing.org,313-277-2739,"23869 Van Born Rd.
Taylor, MI 48180",MI,Yes,,http://www.homebrewing.org/search.asp?keyword=the+fast+rack&search=SEARCH,,No,No,6/12/13,,,Some new photos and some old photos,
Adventures in HomebrewingÂ ,www.homebrewing.org,homebrew@homebrewing.org,313-277-2739,"6071 Jackson Rd.
Ann Arbor, MI 48103",MI,Yes,,""" """,,""" """,""" """,6/12/13,,,""" """,
Bell's General Store,www.bellsbeer.com,dcurtis@bellsbeer.com,(269)382-5712,"355 E. Kalamazoo Ave, Kalamazoo, MI 49007",MI,Yes,,No (Only bottle tree),,No,,6/12/13,,,,
O'Connor's Homebrew Supply,www.oconnorshomebrew.com,info@oconnorshomebrew.com,(616) 635-2088,"619 Lyon Street NE, Grand Rapids, MI 49503",MI,Yes,,,,,,,,,,
Altek Sports And Scuba,http://www.alteksports.com/,alteksports@Gmail.com,616-772-0088,"331 East Main Ave, Zeeland, Michigan 49464",MI,Yes,,,,,,,,,,
Hopman`s Beer & Wine Making Supplies,hopmanssupply.com,hopmans@sbcglobal.net,(248) 674-4677,"4690 West Walton Blvd, Waterford, MI 48329",MI,Yes,,No,,,,,,,,
Cap 'n' Cork Homebrew SuppliesÂ ,http://www.capncorkhomebrew.com/,info@capncorkhomebrew.com,586-286-5202,"16776 21 Mile Rd
Macomb, MI 48044Â ",MI,Yes,,,,,,,,,,
Capital City Homebrew Supply,http://capitalcityhomebrewsupply.com/,todd@capitalcityhomebrewsupply.com,1 517-374 1070,"1824 E. Michigan Avenue, Lansing, Michigan 48912",MI,Yes,,,,,,,8/27/13,,,
That's How We Brew,www.thatshowwebrew.com,thatshowwebrew@gmail.com,517-708-7548,"3000 Vine St.
Lansing,  Michigan 48912",MI,Yes,,,,,,,,,,
Kuhnhenn Brewing Co.,www.kbrewery.com,skippappas@gmail.com,586-979-8361,"5951 Chicago Rd.
Warren, MI. 48092",MI,Yes,,,,,,,,,,
Dark Horse General Store,http://www.darkhorsebrewery.com/,aaronm@darkhorsebrewery.com,269-558-4909,"511 South Kalamazoo Ave.
Marshall, Michigan 49068",MI,Yes,,,,,,,,,,
Oliver T's Market,http://www.olivert.com/,mcanan@olivert.com - oliverts@olivert.com,810-695-6550,"1553 E Hill Rd, Grand Blanc, Michigan 48439",MI,Yes,,,,,,,,,,
Cascade Winery,http://www.cascadecellars.com/,bob@cascadecellars.com,616-656-4665,"4665 broadmoore ave. suite 135 grand rapids, MI 49512",MI,Yes,,,,,,,,,,
Oppermanns Cork n Ale,www.cork-n-ale.com,corknale@gmail.com,989-797-8466,"2940 Midland Rd  Saginaw Charter Township, MI 48603",MI,Yes,,,,,,,,,,
Begick Nursery and Garden Center,www.begicknursery.com,ray@begicknursery.com,989-684-4210,"5993 West Side Saginaw Rd. Bay City, MI 48706",MI,Yes,,,,,,,,,,
Eastman Party Store,www.eastmanpartystore.com,eastmanpartystore@sbcglobal.net ,989-835-7991,"5205 Eastman Ave  Midland Township, MI 48640",MI,Yes,,,,,,,,,,
Eastern Shores Brewing Supplies,http://easternshoresbrewing.com/,,"810-985-4444, 810-985-3757","510 Pine St. Port Huron, Michigan 48060",MI,Yes,,,,,,,,,,
BrewGadgets,www.brewgadgets.com,edw@brewgadgets.com ,(866)-591-8247,"328 S. Lincoln Avenue
Lakeview, Michigan 48850",MI,,,,,,,,,,,
Indian River Tobacco Traders,http://www.indianrivertobacco.com/,dave@irttsales.com - sales@irttsales.com,231-652-4500,"8235 Mason Drive Suite F, Newaygo, Michigan 49337",MI,,,,,,,,,,,
Indian River Tobacco Traders (second location) ,http://www.indianrivertobacco.com/,,(616) 249-3999,"608 28th Street SW
Grand Rapids, MI",MI,,,,,,,,,,,
21,,,,,,,,,,,,,,,,
KANSAS,,,,,,,,,,,,,,,,
Johnson's Garden Center Inc,http://www.johnsonsgarden.com/,chris@johnsonsgarden.com,316-942-1443,"2707 W. 13th st. N, Wichita, Kansas 67203",KS,Yes,,,,,,,,,,
All Grain Brewing Specialists LLC,http://www.allgrainbrewing.biz/,info@allgrainbrewing.biz,785-230-2145,"1235 NW 39, Topeka, Kansas 66618",KS,Yes,,,,,,,,,,
Where's My Beer?,,PUMPMANN@AOL.COM,785-512-0728,"304 N 85TH,  HERINGTON KS  6749",KS,Yes,,,,,,,,,,
3,,,,,,,,,,,,,,,,
KENTUCKY,,,,,,,,,,,,,,,,
Tri-State Beer & Wine Crafting,,mgruen@tristatewinecrafting.com,859-282-8196,"8854 Bankers St, Florence, Kentucky 41042",KY,Yes,,,,,,,,,,
Roof Brothers Wine & Spirits,,roofbro@comcast.net,270-443-6601,3145 PARK AVE PADUCAH KY 42001,KY,Yes,,,,,,,,,,
Lexington Beerworks,http://lexingtonbeerworks.com/home/,jpwolf00@yahoo.com ,859-359-6747,"213 North Limestone
Lexington, KY 40509",KY,,,,,,,,,,,LD - Oct22
Party Town,www.partytownky.com,info@partytownky.com ,(859) 371-4466,"6823 Burlington Pike
Florence, Kentucky 41042",KY,,,,,,,,,,,Oct24 - few combos
The Party Source,www.thepartysource.com,dgold@thepartysource.com. - andrewritterbeck@yahoo.com,859-291-4007,95 RIVIERA DRIVE BELLEVUE KY 41073,KY,,,,,,,,,,,
5,,,,,,,,,,,,,,,,
WASHINGTON,,,,,,,,,,,,,,,,
Northwest Brewers SupplyÂ ,www.nwbrewers.com,brew@nwbrewers.com,"800-460-7095, 360-293-0424","940 Spruce St. Burlington, WA 98233",WA,Yes,,No (Only bottle tree),,No,,6/12/13,,,,
Jim's Homebrew Supply Inc.,www.jimshomebrew.com,bob@jimshomebrew.com,509-328-4850,"2619 North Division St. Spokane, Washington, 99207",WA,Yes,,No,,No,,6/12/13,,,,
Hometown Ace Hardware,www.yakimaace.com,bradjr@yakimaace.com,509-972-4400,"405 West Yakima Ave.
Yakima, WA 98902",WA,Yes,,Problem with site,,No,,,,,,
Bader Beer & Wine Supply Inc.,www.baderbrewing.com,sales@baderbrewing.com,800-596-3610,"711 Grand Blvd.
Vancouver, WA 98661",WA,Yes,,http://www.baderbrewing.com/products/beer-bottling-wine-bottles-drying-racks/fastrack-stackable-bottle-drainer,,No,No,6/12/13,,,Old photos (First to come up),
Grapeland Supply,www.grapelandsupply.com,sales@grapelandsupply.com,509-522-1141,"811 W Rose St.
Walla Walla, WA
99362",WA,Yes,,No,,No,,6/12/13,,,,
Mountain Homebrew & Wine SupplyÂ ,www.mountainhomebrew.com,jon@mountainhomebrew.com,425-803-3996,"Mountain Homewbrew & Wine Supply
8530 122nd Ave NE, B2
Kirkland, WA
98033",WA,Yes,,"No, only bottle tree",,,,,Just added to the list Mid July,,,
Northwest Specialty Co.,http://nwspecialtyco.com/,robert@nwspecialtyco.com,253-581-0537,"2624 112th St S
#E-2
Lakewood, WA 98499",WA,Yes,,No - Does NOT list on website,,,,,Does NOT list on webiste so never email Robert for this - ordered a pallet on July 8th,,,
The Beer EssentialsÂ ,www.thebeeressentials.com,order@thebeeressentials.com,(253) 581-4288,"2624 112th St S #E-1
Lakewood, WA 98499",WA,Yes,,No,,,,,,,,
Rocky Top Homebrew & Beer Emporium,http://www.rockytopbrew.com/,rockytopbrew@yahoo.com,360-956-9160,"1617 Harrison Avenue NW
Olympia, Washington United States 98502",WA,Yes,,No,,,,,,,,
Mount Si Homebrew Supply,www.mtsihomebrew.com,nathan@mtsihomebrew.com,425-292-9752,"8032 Falls Ave, Suite A Snoqualmie, Washington 98065",WA,Yes,,,,,,,,,,
The Cellar Homebrew,www.cellar-homebrew.com,staff@cellar-homebrew.com,206-365-7660,"14320 Greenwood Ave N. Seattle, WA 98133",WA,Yes,,,,,,,,,,
BAMF Brewing Supply,,,360-632-1508,"187 Torrence Ln
Oak Harbor, WA, 98277",WA,Yes,,,,,,,,,,
Northwest Brewing Supply,http://www.nwbrewers.com/,brew@nwbrewers.com,360-293-0424,"940 Spruce St. Burlington, WA 98233",WA,Yes,,,,,,,,,,
Bob`s Homebrew Supply,www.bobshomebrew.com,bob@bobshomebrew.com,206-527-9283,"2821 NE 55th St  Seattle, WA 98105",WA,Yes,,,,,,,,,,
Flood Valley Homebrew,www.floodvalleyhomebrew.com,service@floodvalleyhomebrew.com,360-748-4792,"462 N Market Blvd. Chehalis, WA 98532",WA,Yes,,,,,,,,,,
Whidbey Island Homebrew,http://www.islandhomebrew.com/,"terry@islandhomebrew.com, jeremy@islandhomebrew.com","1888-330-2337, 360-632-1510","715 SE Fidalgo Ave Suite 102, Oak Harbor, Washington 98277",WA,Yes,,,,,,,,,,
Whidbey Island Homebrew,http://www.islandhomebrew.com/,terry@islandhomebrew.com,(360) 682-5011,"Whidbey Island Homebrew Supply
3161 Goldie Rd Ste H
Oak Harbor, WA 98277",WA,Yes,,,,,,,,,,
North Corner Brewing Supply,www.northcornerbrewing.com,alewine@w-link.net,360-714-1186,"1220 Central Ave  Bellingham, WA 98225",WA,Yes,,,,,,,,,,
Heymann Whinery,www.heymannwhinery.com,h-whinery@localaccess.com,360-623-1106,"212 N Tower Ave, Centralia, WA 98531",WA,,,,,,,,,,,
,,,,,,,,,,,,,,,,
IDAHO,,,,,,,,,,,,,,,,
Nampa Brewer's Center,http://www.nampabrewers.com/,deb@nampabrewers.com,208-468-7724,"115 South Westwood Blvd.
 Nampa, ID 83686",ID,Yes,,No,,No,,6/17/13,,,,
BRew Camp,N/A,,,,ID,,,,,,,,,,,
BRew Camp,N/A,,,,ID,,,,,,,,,,,
L&D Brewshop LLC,http://www.ldbrewshop.com/,ldbrewshop@gmail.com,208-521-3154,"4264 Silverado Dr, Idaho Falls, Idaho 83404",ID,Yes,,,,,,,,,,
HomeBrewStuff,www.homebrewstuff.com,Tyler@homebrewstuff.com - josh@homebrewstuff.com - webstore@homebrewstuff.com,(208) 375-2559,"9165 W Chinden Blvd # 103
Garden City ID 83714",ID,Yes,,,,,,,,,,
Brewer's Haven,www.brewershaven.com,Katie@brewershaven.com,208-991-4677,"1795 Vista Ave  Boise, ID 83705",ID,Yes,,,,,,,,,,
13 Bottles,,IIPHASE@LDA.NET,208-221-3097 ,"130 HARRISON STREET,  AMERICAN FALLS ID  83211",ID,Yes,,,,,,,,,,
7,,,,,,,,,,,,,,,,
OHIO,Mitchell,Mitchell,Mitchell,Mitchell,,,,,,,,,,,Mitchell,
"Gentile's, The Wine Sellers",http://www.gentiles.com/gentiles/Contact_and_Map.html,gentiles@netwalk.com,(614) 486-3406,"1565 King Ave.  Columbus, OH 43212",OH,Yes,,No,set up right by the front door,No,,June17 - Oct 5 ,"June17-Sales are doing well, always reccomend to their customers, ordered alot. Oct5 roger not in",,don't do online,
Wolfies,http://www.wolfiesnuts.com/,info@wolfiesnuts.com,(419) 423-1355,"1016 Tiffin Ave. Findlay, OH 45840",OH,Yes,,http://www.wolfiesnuts.com/p-282-fast-rack-system.aspx,set up with bottles,No,Yes,,"not emailing becasue we are on their site and have updated pictures. Called August 8th, doing well in store",,Yes,
Home Brew Ohio,www.homebrewohio.com,Mike@HomeBrewOhio.com,419 502-9019,"6512 Milan Rd
Sandusky, OH  44870",OH,Yes,,No,,,,,"Called August 8th, no answer",,No,
The Cleveland Brew Shop,www.clevelandbrewshop.com,paul@ClevelandBrewShop.com,216-574-2271,"2681 W 14th St  Cleveland, OH 44113",OH,Yes,,No,On floor as well as counter,,"rack&tray $24,99",5-Oct,Aug 8th Doing really well,,sent email,
"Winemakers Shop, TheÂ ",www.winemakersshop.com,winemakersshop@gmail.com,614-263-1744,"3517 North High St.  Columbus, OH 43214",OH,Yes,,No,,,,,"Called August 8th, no answer",,,
Osborn Brewing,http://osbornbrewing.com/,beergeek@osbornbrewing.com,513-360-0076,"820 Lebanon St Suite A Monroe, Ohio 45050",OH,Yes,,No,,,,,Last week of July,,,
The Brew Mentor,www.thebrewmentor.com,store@thebrewmentor.com,440-951-2739,"7295 Mentor Ave  Mentor, OH 44060",OH,,,,,,,,Last Day of July,,,
America's Hobby HouseÂ ,www.Americashobbyhouse.com,info@labelpeelers.com,330-678-6400,4220 State Rt. 43 Kent OH 44240,OH,Yes,,,,,,,Beginning of Aug.,,,
Warehouse Beverage Inc.,no website,paul.warehouse@gmail.com,216-382-2400,"4364 Mayfield Rd, Cleveland, OH 44121",OH,Yes,,,,,,,Beginning of Aug.,,,
Shrivers Pharmacy,www.shriverspharmacy.com,chris.cudd@shriverspharmacy.com - vickichapman57@aol.com,740-452-3691,"406 Brighton Blvd.
 Zanesville, Ohio 43701",OH,Yes,,,,,,,,,,
Buckeye Brewcraft,http://www.buckeyebrewcraft.com/,Buckeyebrewcraft@gmail.com,614-440-8854,"33 N State Street Westerville, OH 43081
",OH,Yes,,,,,,,,,,
Wine Makers Headquarters,www.winemakershq.com,bob@WineMakersHQ.com,330-369-3981,"3100 Youngstown Rd SE  Warren, OH 44484",OH,Yes,,,,,,,,,,
"Grape and Granary, The",http://www.thegrape.net/search.htm?searchterm=fast+rack&s_category=0&step=2,info@grapeandgranary.com,800-695-9870,"915 Home Avenue
Akron, OH, 44310",OH,Yes,,,,,,,,,,
Jungle Jim's,www.junglejims.com,contactus@junglejims.com - twiggs@junglejims.com,513-829-1919,"4450 Eastgate South Drive
Cincinnati, OH 45245",OH,Yes,,,,,,,,,,
Jungle Jims,http://www.junglejims.com/,contactus@junglejims.com,,"5440 Dixie Highway
Fairfield, OH 45014",OH,Yes,,,,,,,,,,
Ormes Hardware of Berlin,www.ormehardware.com,ormesofberlin@yahoo.com,330-893-2812,"4888 Elm St, Berlin, Oh 44610",OH,Yes,,,,,,,,,,
OSBORN BREWING,,,513-360-0076,820 LEBANON ST  MONORE OH 45050,OH,,,,,,,,,,,
13,,,,,,,,,,,,,,,,
DELAWARE,,,,,,,,,,,,,,,,
Xtreme Brewing,www.xtremebrewing.com - https://www.xtremebrewing.com/,contact@xtremebrew.com,302-934-8588,"24612 Wiley Branch Road
Millsboro, DE 19966",DE,Yes,,No,,,,,,,,
"How Do You Brew, Inc.",www.howdoyoubrew.com,"joe@howdoyoubrew.com, Jan@HowDoYouBrew.com",(302) 738-7009,"203 Louviers Dr, Newark, DE 19711-4164",DE,Yes,,,,,,,,,,
2,,,,,,,,,,,,,,,,
IOWA,,,,,,,,,,,,,,,,
Beer Crazy,www.beercrazy.com,centralhomebrew@mchsi.com,(515) 331-0587,"3908 NW Urbandale Dr. / 100th St., Urbandale, IA 50322",IA,Yes,,,,,,,,,,
BIY Homebrew Supply,http://www.biyhomebrewsupply.com/,service@biyhomebrewsupply.com,319-373-2337,"147 Marion Blvd Ste C, Marion, Iowa 52302",IA,Yes,,,,,,,,,,
Central Homebrew Supply,www.centralhomebrewsupply.com,centralhomebrewsupply@mchsi.com,(641) 777-5281,"Ottumwa, IA 52501",IA,Yes,,,,,,,,,,
Camp McClellan Cellars,www.campmc.com,jkkeehn@aol.com,563-322-2100,2302 E 11th St,IA,,,,,,,,,,,
4,,,,,,,,,,,,,,,,
ARIZONA,,,,,,,,,,,,,,,,
Brew Your Own BrewÂ (Tuscon),www.brewyourownbrew.com,info@brewyourownbrew.com,(520) 322-5049,"2564 North Campbell Ave.  Tucson, AZ 85719",AZ,Yes,,No,,No,,,June 17th - Shipped out end of april so I will give them more time with it,,,
Brew Your Own Brew (Gilbert),www.brewyourownbrew.com,info@brewyourownbrew.com, 888-322-5049,"525 E Baseline Rd. Suite 108, Gilbert, Arizona 85233",AZ,Yes,,,,,,,,,,
Brew Your Own Brew & Wine (Scottsdale),www.brewyourownbrew.com,info@brewyourownbrew.com, 888-322-5049,"8230 E. Raintree Rd., #103
Scottsdale, AZ 85260",AZ,Yes,,,,,,,,,,
Movie House Winery,http://moviehousewinery.com/,khsowers@suddenlinkmail.com,501-454-8645,"112 E Commerce St, Morrilton AR  72110",AZ,Yes,,,,,,,,,,
What Ale's YaÂ ,www.whatalesya.com,way2brew@mindspring.com,623-486-8016,"6363 West Bell Rd. 
Glendale, AZ 85308",AZ,Yes,,No,,No,,6/17/13,,,,
5,,,,,,,,,,,,,,,,
CALIFORNIA,,,,,,,,,,,,,,,,
Williams Brewing,http://www.williamsbrewing.com/,service@williamsbrewing.com,800.759.6025,"2088 BURROUGHS AVE. SAN LEANDRO, CA 94577",CA,Yes,,http://www.williamsbrewing.com/FASTRACK-LONGNECK-STORAGE-P3335.aspx,,No,No,,June 17th - Ordered over a thousand dollars at the end of april - waiting until a later date to email,,Old Photo,
Valley Brewers,www.valleybrewers.com,sandy@valleybrewers.com,(805)325-6320 / (805)691-9159,"515 Fourth Place.
Solvang, California 93463",CA,Yes,,No (Nothing on site),,No,,,Don't offer anything on site,,,
Hop Tech,www.hoptech.com,jade@hoptech.com,925-875-0246,"6398 Dougherty Rd. Dublin, CA 94568",CA,Yes,,http://www.hoptech.com/products/fastrack-bottle-dryer-and-tray,,No,No,6/17/13,"emailed back, loves the product, it's selling over the bottle tree, appreciates the email and us asking! Very nice guy.",,New and Old,
American Home Brewing Supply,www.americanhomebrewing.com,americanhomebrew@att.net,858-268-3024,"9535 Kearny Villa Rd. San Diego, CA 92126",CA,Yes,,No,,No,,6/17/13,,,,
Doc's Cellar,www.docscellar.com,email@docscellar.com,805-781-9974,"855 Capitolio Way.
San Luis Obispo, CA 93401",CA,Yes,,Nothing offered online,,No,$29.95 for combo and $17.99 & $9.99 for singles,June17-Oct5,Oct5 mitchell spoke and not really selling any combos and still selling 3 bottle trees a month. Using correct prcies,,,
"The Home Wine, Beer and Cheesemaking Shop",www.homebeerwinecheese.com,homebrew@homebeerwinecheese.com,818-884-8586,"22836 VENTURA BLVD. 
WOODLAND HILLS, CA  91364",CA,Yes,,No,,No,,6/17/13,,,,
NorCal Brewing Solutions,www.NorCalBrewingSolutions.com,Sales@norcalbrewingsolutions.com,530-243-2337,"1768 Churn Creek Rd.
Redding, CA  96002",CA,Yes,,No (only bottle tree),,No,,6/17/13,,,,
Stein FillersÂ ,www.steinfillers.com,brew@steinfillers.com,562-425-0588,"4160 Norse Way. Long Beach, CA, 90808",CA,Yes,,No,,No,,6/17/13,June 17th - has not yet recieved order,,,
Oak Barrel Winecraft Inc.Â ,www.oakbarrel.com,info@oakbarrel.com,510-849-0400,"1443 San Pablo Ave.
Berkeley, CA 94702",CA,Yes,,No (only bottle tree),,No,,6/17/13,,,,
